MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
338075892,2024-01-01T00:00:03,43.65322,-70.25298,0.0,358.8,511.0,PILOT BOAT SPRING PT,,WDB8945,90.0,0.0,0.0,0.0,0.0,90.0,A
367669550,2024-01-01T00:00:04,46.20031,-123.38573,0.0,281.9,141.0,ALASKA CHALLENGER,IMO7938024,WDH9586,30.0,15.0,30.0,8.0,0.0,30.0,A
367118980,2024-01-01T00:00:06,29.98534,-90.40674,0.0,30.1,296.0,CAPT J A MORGAN,IMO1186680,WDD2725,31.0,12.0,115.0,34.0,3.0,57.0,A
367177840,2024-01-01T00:00:05,39.88654,-75.17649,0.0,304.4,511.0,BART TURECAMO,IMO7338808,WBR4464,52.0,15.0,33.0,5.0,0.0,52.0,A
367305420,2024-01-01T00:00:06,18.33273,-64.95229,0.0,332.6,511.0,DOROTHY MORAN,IMO7716995,WXU4654,52.0,0.0,33.0,11.0,0.0,52.0,A
338239081,2024-01-01T00:00:05,38.95731,-76.4841,0.1,111.3,511.0,JAHAZI,IMO0000000,,36.0,,12.0,4.0,,,B
367507960,2024-01-01T00:00:02,33.75386,-118.22404,0.0,281.8,511.0,DB SALTA VERDE,,WDF9705,90.0,3.0,56.0,15.0,2.0,90.0,A
636018568,2024-01-01T00:00:04,29.27798,-94.59552,10.5,140.7,143.0,VIVIT ALTAIS,IMO9840879,D5QH3,80.0,0.0,230.0,32.0,11.8,80.0,A
366847780,2024-01-01T00:00:03,30.18136,-87.67583,7.6,259.0,262.0,PACIFIC DAWN,IMO7400467,WDA7844,31.0,0.0,30.0,8.0,5.0,31.0,A
367468580,2024-01-01T00:00:04,29.97021,-90.24457,0.0,144.3,511.0,EMMA CLAIRE,,WDF5910,31.0,0.0,20.0,7.0,2.0,31.0,A
